,SORTING,EVENTTIME,ACTIVITY_EN,Automation,Customer_Location,Costs,Customer Satisfaction,Cost Factor,Weekday,Daytime,Distribution Channel,Customer Location,Customer Type
7800,1248,03/04/2018 11:58,Start preparing pizza,B,Munich District Five,4.0,3.0,Delivery Guy 2,Saturday,13.0,BestOrder Inc.,Munich District Three,Student
7801,1248,03/04/2018 11:58,Start preparing pizza,B,Munich District Five,30.0,3.0,Ingredients,Friday,14.0,Feedera SE,Munich District One,Student
7802,1248,03/04/2018 11:58,Start preparing pizza,B,Munich District Five,37.0,1.0,Chef 2,Thursday,11.0,BestOrder Inc.,Munich District One,Student
7803,1248,03/04/2018 11:58,Start preparing pizza,B,Munich District Five,11.0,3.0,Chef 1,Sunday,14.0,BestOrder Inc.,Munich District Three,Teenager
7804,1248,03/04/2018 11:58,Start preparing pizza,B,Munich District Five,7.0,4.0,Waiter,Sunday,11.0,Deliver Now Holding,Munich District Two,Teenager
7805,1248,03/04/2018 11:58,Start preparing pizza,B,Munich District Five,11.0,4.0,Delivery Scooters ,Friday,20.0,BestOrder Inc.,Munich District One,Student
7806,1248,03/04/2018 11:58,Start preparing pizza,B,Munich District Five,7.0,3.0,Delivery Scooters ,Saturday,17.0,BestOrder Inc.,Munich District Three,Student
7807,1248,03/04/2018 11:58,Start preparing pizza,B,Munich District Five,10.0,1.0,Chef 2,Wednesday,21.0,Feedera SE,Munich District One,Student
7808,1248,03/04/2018 11:58,Start preparing pizza,B,Munich District Five,2.0,0.0,Delivery Scooters ,Sunday,12.0,Deliver Now Holding,Munich District Five,Student
7809,1248,03/04/2018 11:58,Start preparing pizza,B,Munich District Five,7.0,0.0,Waiter,Wednesday,12.0,BestOrder Inc.,Munich District Four,Teenager
7810,1248,03/04/2018 11:58,Start preparing pizza,B,Munich District Five,10.0,0.0,Chef 1,Saturday,18.0,Deliver Now Holding,Munich District Two,Student
7811,1248,03/04/2018 11:58,Start preparing pizza,B,Munich District Five,29.0,2.0,Chef 2,Saturday,12.0,Feedera SE,Munich District Two,Teenager
7812,1249,03/04/2018 12:04,Start baking pizza,A,Munich District Five,4.0,3.0,Delivery Guy 2,Saturday,13.0,BestOrder Inc.,Munich District Three,Student
7813,1249,03/04/2018 12:04,Start baking pizza,A,Munich District Five,30.0,3.0,Ingredients,Friday,14.0,Feedera SE,Munich District One,Student
7814,1249,03/04/2018 12:04,Start baking pizza,A,Munich District Five,37.0,1.0,Chef 2,Thursday,11.0,BestOrder Inc.,Munich District One,Student
7815,1249,03/04/2018 12:04,Start baking pizza,A,Munich District Five,11.0,3.0,Chef 1,Sunday,14.0,BestOrder Inc.,Munich District Three,Teenager
7816,1249,03/04/2018 12:04,Start baking pizza,A,Munich District Five,7.0,4.0,Waiter,Sunday,11.0,Deliver Now Holding,Munich District Two,Teenager
7817,1249,03/04/2018 12:04,Start baking pizza,A,Munich District Five,11.0,4.0,Delivery Scooters ,Friday,20.0,BestOrder Inc.,Munich District One,Student
7818,1249,03/04/2018 12:04,Start baking pizza,A,Munich District Five,7.0,3.0,Delivery Scooters ,Saturday,17.0,BestOrder Inc.,Munich District Three,Student
7819,1249,03/04/2018 12:04,Start baking pizza,A,Munich District Five,10.0,1.0,Chef 2,Wednesday,21.0,Feedera SE,Munich District One,Student
7820,1249,03/04/2018 12:04,Start baking pizza,A,Munich District Five,2.0,0.0,Delivery Scooters ,Sunday,12.0,Deliver Now Holding,Munich District Five,Student
7821,1249,03/04/2018 12:04,Start baking pizza,A,Munich District Five,7.0,0.0,Waiter,Wednesday,12.0,BestOrder Inc.,Munich District Four,Teenager
7822,1249,03/04/2018 12:04,Start baking pizza,A,Munich District Five,10.0,0.0,Chef 1,Saturday,18.0,Deliver Now Holding,Munich District Two,Student
7823,1249,03/04/2018 12:04,Start baking pizza,A,Munich District Five,29.0,2.0,Chef 2,Saturday,12.0,Feedera SE,Munich District Two,Teenager
7824,1250,03/04/2018 12:10,Baking pizza ready,B,Munich District Five,4.0,3.0,Delivery Guy 2,Saturday,13.0,BestOrder Inc.,Munich District Three,Student
7825,1250,03/04/2018 12:10,Baking pizza ready,B,Munich District Five,30.0,3.0,Ingredients,Friday,14.0,Feedera SE,Munich District One,Student
7826,1250,03/04/2018 12:10,Baking pizza ready,B,Munich District Five,37.0,1.0,Chef 2,Thursday,11.0,BestOrder Inc.,Munich District One,Student
7827,1250,03/04/2018 12:10,Baking pizza ready,B,Munich District Five,11.0,3.0,Chef 1,Sunday,14.0,BestOrder Inc.,Munich District Three,Teenager
7828,1250,03/04/2018 12:10,Baking pizza ready,B,Munich District Five,7.0,4.0,Waiter,Sunday,11.0,Deliver Now Holding,Munich District Two,Teenager
7829,1250,03/04/2018 12:10,Baking pizza ready,B,Munich District Five,11.0,4.0,Delivery Scooters ,Friday,20.0,BestOrder Inc.,Munich District One,Student
7830,1250,03/04/2018 12:10,Baking pizza ready,B,Munich District Five,7.0,3.0,Delivery Scooters ,Saturday,17.0,BestOrder Inc.,Munich District Three,Student
7831,1250,03/04/2018 12:10,Baking pizza ready,B,Munich District Five,10.0,1.0,Chef 2,Wednesday,21.0,Feedera SE,Munich District One,Student
7832,1250,03/04/2018 12:10,Baking pizza ready,B,Munich District Five,2.0,0.0,Delivery Scooters ,Sunday,12.0,Deliver Now Holding,Munich District Five,Student
7833,1250,03/04/2018 12:10,Baking pizza ready,B,Munich District Five,7.0,0.0,Waiter,Wednesday,12.0,BestOrder Inc.,Munich District Four,Teenager
7834,1250,03/04/2018 12:10,Baking pizza ready,B,Munich District Five,10.0,0.0,Chef 1,Saturday,18.0,Deliver Now Holding,Munich District Two,Student
7835,1250,03/04/2018 12:10,Baking pizza ready,B,Munich District Five,29.0,2.0,Chef 2,Saturday,12.0,Feedera SE,Munich District Two,Teenager
7836,1251,03/04/2018 12:11,Payment customer,A,Munich District Five,4.0,3.0,Delivery Guy 2,Saturday,13.0,BestOrder Inc.,Munich District Three,Student
7837,1251,03/04/2018 12:11,Payment customer,A,Munich District Five,30.0,3.0,Ingredients,Friday,14.0,Feedera SE,Munich District One,Student
7838,1251,03/04/2018 12:11,Payment customer,A,Munich District Five,37.0,1.0,Chef 2,Thursday,11.0,BestOrder Inc.,Munich District One,Student
7839,1251,03/04/2018 12:11,Payment customer,A,Munich District Five,11.0,3.0,Chef 1,Sunday,14.0,BestOrder Inc.,Munich District Three,Teenager
7840,1251,03/04/2018 12:11,Payment customer,A,Munich District Five,7.0,4.0,Waiter,Sunday,11.0,Deliver Now Holding,Munich District Two,Teenager
7841,1251,03/04/2018 12:11,Payment customer,A,Munich District Five,11.0,4.0,Delivery Scooters ,Friday,20.0,BestOrder Inc.,Munich District One,Student
7842,1251,03/04/2018 12:11,Payment customer,A,Munich District Five,7.0,3.0,Delivery Scooters ,Saturday,17.0,BestOrder Inc.,Munich District Three,Student
7843,1251,03/04/2018 12:11,Payment customer,A,Munich District Five,10.0,1.0,Chef 2,Wednesday,21.0,Feedera SE,Munich District One,Student
7844,1251,03/04/2018 12:11,Payment customer,A,Munich District Five,2.0,0.0,Delivery Scooters ,Sunday,12.0,Deliver Now Holding,Munich District Five,Student
7845,1251,03/04/2018 12:11,Payment customer,A,Munich District Five,7.0,0.0,Waiter,Wednesday,12.0,BestOrder Inc.,Munich District Four,Teenager
7846,1251,03/04/2018 12:11,Payment customer,A,Munich District Five,10.0,0.0,Chef 1,Saturday,18.0,Deliver Now Holding,Munich District Two,Student
7847,1251,03/04/2018 12:11,Payment customer,A,Munich District Five,29.0,2.0,Chef 2,Saturday,12.0,Feedera SE,Munich District Two,Teenager
7848,1252,22/03/2018 20:11,Order by phone,A,Munich District Five,16.0,1.0,Delivery Scooters ,Wednesday,12.0,Feedera SE,Munich District Five,Adult
7849,1253,22/03/2018 20:14,Start preparing pizza,A,Munich District Five,16.0,1.0,Delivery Scooters ,Wednesday,12.0,Feedera SE,Munich District Five,Adult
7850,1254,22/03/2018 20:17,Start baking pizza,A,Munich District Five,16.0,1.0,Delivery Scooters ,Wednesday,12.0,Feedera SE,Munich District Five,Adult
7851,1255,22/03/2018 20:21,Baking pizza ready,A,Munich District Five,16.0,1.0,Delivery Scooters ,Wednesday,12.0,Feedera SE,Munich District Five,Adult
7852,1256,22/03/2018 20:28,Start preparing pizza,B,Munich District Five,16.0,1.0,Delivery Scooters ,Wednesday,12.0,Feedera SE,Munich District Five,Adult
7853,1257,22/03/2018 20:34,Start baking pizza,A,Munich District Five,16.0,1.0,Delivery Scooters ,Wednesday,12.0,Feedera SE,Munich District Five,Adult
7854,1258,22/03/2018 20:47,Baking pizza ready,A,Munich District Five,16.0,1.0,Delivery Scooters ,Wednesday,12.0,Feedera SE,Munich District Five,Adult
7855,1259,22/03/2018 20:53,Plan route,B,Munich District Five,16.0,1.0,Delivery Scooters ,Wednesday,12.0,Feedera SE,Munich District Five,Adult
7856,1260,22/03/2018 20:54,Departure pizza,A,Munich District Five,16.0,1.0,Delivery Scooters ,Wednesday,12.0,Feedera SE,Munich District Five,Adult
7857,1261,22/03/2018 21:01,Pizza arrives at customer,A,Munich District Five,16.0,1.0,Delivery Scooters ,Wednesday,12.0,Feedera SE,Munich District Five,Adult
7858,1262,22/03/2018 21:35,Payment customer,A,Munich District Five,16.0,1.0,Delivery Scooters ,Wednesday,12.0,Feedera SE,Munich District Five,Adult
7859,1263,14/04/2018 23:00,Order at the counter (shop),A,Munich District Five,7.0,5.0,Delivery Guy 1 ,Friday,18.0,Deliver Now Holding,Munich District One,Adult
7860,1263,14/04/2018 23:00,Order at the counter (shop),A,Munich District Five,11.0,1.0,Delivery Guy 1 ,Sunday,21.0,Feedera SE,Munich District Five,Adult
7861,1263,14/04/2018 23:00,Order at the counter (shop),A,Munich District Five,10.0,2.0,Chef 1,Tuesday,18.0,BestOrder Inc.,Munich District Three,Teenager
7862,1263,14/04/2018 23:00,Order at the counter (shop),A,Munich District Five,29.0,3.0,Waiter,Tuesday,19.0,Deliveruu Inc.,Munich District Five,Student
7863,1263,14/04/2018 23:00,Order at the counter (shop),A,Munich District Five,7.0,2.0,Chef 2,Sunday,17.0,Feedera SE,Munich District Three,Teenager
7864,1263,14/04/2018 23:00,Order at the counter (shop),A,Munich District Five,22.0,4.0,Chef 1,Sunday,14.0,Deliveruu Inc.,Munich District One,Adult
7865,1263,14/04/2018 23:00,Order at the counter (shop),A,Munich District Five,5.0,3.0,Chef 2,Saturday,14.0,TownExpress Inc. ,Munich District One,Teenager
7866,1263,14/04/2018 23:00,Order at the counter (shop),A,Munich District Five,4.0,2.0,Waiter,Friday,13.0,Deliver Now Holding,Munich District One,Student
7867,1264,14/04/2018 23:01,Start preparing pizza,A,Munich District Five,7.0,5.0,Delivery Guy 1 ,Friday,18.0,Deliver Now Holding,Munich District One,Adult
7868,1264,14/04/2018 23:01,Start preparing pizza,A,Munich District Five,11.0,1.0,Delivery Guy 1 ,Sunday,21.0,Feedera SE,Munich District Five,Adult
7869,1264,14/04/2018 23:01,Start preparing pizza,A,Munich District Five,10.0,2.0,Chef 1,Tuesday,18.0,BestOrder Inc.,Munich District Three,Teenager
7870,1264,14/04/2018 23:01,Start preparing pizza,A,Munich District Five,29.0,3.0,Waiter,Tuesday,19.0,Deliveruu Inc.,Munich District Five,Student
7871,1264,14/04/2018 23:01,Start preparing pizza,A,Munich District Five,7.0,2.0,Chef 2,Sunday,17.0,Feedera SE,Munich District Three,Teenager
7872,1264,14/04/2018 23:01,Start preparing pizza,A,Munich District Five,22.0,4.0,Chef 1,Sunday,14.0,Deliveruu Inc.,Munich District One,Adult
7873,1264,14/04/2018 23:01,Start preparing pizza,A,Munich District Five,5.0,3.0,Chef 2,Saturday,14.0,TownExpress Inc. ,Munich District One,Teenager
7874,1264,14/04/2018 23:01,Start preparing pizza,A,Munich District Five,4.0,2.0,Waiter,Friday,13.0,Deliver Now Holding,Munich District One,Student
7875,1265,14/04/2018 23:06,Start baking pizza,A,Munich District Five,7.0,5.0,Delivery Guy 1 ,Friday,18.0,Deliver Now Holding,Munich District One,Adult
7876,1265,14/04/2018 23:06,Start baking pizza,A,Munich District Five,11.0,1.0,Delivery Guy 1 ,Sunday,21.0,Feedera SE,Munich District Five,Adult
7877,1265,14/04/2018 23:06,Start baking pizza,A,Munich District Five,10.0,2.0,Chef 1,Tuesday,18.0,BestOrder Inc.,Munich District Three,Teenager
7878,1265,14/04/2018 23:06,Start baking pizza,A,Munich District Five,29.0,3.0,Waiter,Tuesday,19.0,Deliveruu Inc.,Munich District Five,Student
7879,1265,14/04/2018 23:06,Start baking pizza,A,Munich District Five,7.0,2.0,Chef 2,Sunday,17.0,Feedera SE,Munich District Three,Teenager
7880,1265,14/04/2018 23:06,Start baking pizza,A,Munich District Five,22.0,4.0,Chef 1,Sunday,14.0,Deliveruu Inc.,Munich District One,Adult
7881,1265,14/04/2018 23:06,Start baking pizza,A,Munich District Five,5.0,3.0,Chef 2,Saturday,14.0,TownExpress Inc. ,Munich District One,Teenager
7882,1265,14/04/2018 23:06,Start baking pizza,A,Munich District Five,4.0,2.0,Waiter,Friday,13.0,Deliver Now Holding,Munich District One,Student
7883,1266,14/04/2018 23:17,Baking pizza ready,A,Munich District Five,7.0,5.0,Delivery Guy 1 ,Friday,18.0,Deliver Now Holding,Munich District One,Adult
7884,1266,14/04/2018 23:17,Baking pizza ready,A,Munich District Five,11.0,1.0,Delivery Guy 1 ,Sunday,21.0,Feedera SE,Munich District Five,Adult
7885,1266,14/04/2018 23:17,Baking pizza ready,A,Munich District Five,10.0,2.0,Chef 1,Tuesday,18.0,BestOrder Inc.,Munich District Three,Teenager
7886,1266,14/04/2018 23:17,Baking pizza ready,A,Munich District Five,29.0,3.0,Waiter,Tuesday,19.0,Deliveruu Inc.,Munich District Five,Student
7887,1266,14/04/2018 23:17,Baking pizza ready,A,Munich District Five,7.0,2.0,Chef 2,Sunday,17.0,Feedera SE,Munich District Three,Teenager
7888,1266,14/04/2018 23:17,Baking pizza ready,A,Munich District Five,22.0,4.0,Chef 1,Sunday,14.0,Deliveruu Inc.,Munich District One,Adult
7889,1266,14/04/2018 23:17,Baking pizza ready,A,Munich District Five,5.0,3.0,Chef 2,Saturday,14.0,TownExpress Inc. ,Munich District One,Teenager
7890,1266,14/04/2018 23:17,Baking pizza ready,A,Munich District Five,4.0,2.0,Waiter,Friday,13.0,Deliver Now Holding,Munich District One,Student
7891,1267,14/04/2018 23:18,Payment customer,A,Munich District Five,7.0,5.0,Delivery Guy 1 ,Friday,18.0,Deliver Now Holding,Munich District One,Adult
7892,1267,14/04/2018 23:18,Payment customer,A,Munich District Five,11.0,1.0,Delivery Guy 1 ,Sunday,21.0,Feedera SE,Munich District Five,Adult
7893,1267,14/04/2018 23:18,Payment customer,A,Munich District Five,10.0,2.0,Chef 1,Tuesday,18.0,BestOrder Inc.,Munich District Three,Teenager
7894,1267,14/04/2018 23:18,Payment customer,A,Munich District Five,29.0,3.0,Waiter,Tuesday,19.0,Deliveruu Inc.,Munich District Five,Student
7895,1267,14/04/2018 23:18,Payment customer,A,Munich District Five,7.0,2.0,Chef 2,Sunday,17.0,Feedera SE,Munich District Three,Teenager
7896,1267,14/04/2018 23:18,Payment customer,A,Munich District Five,22.0,4.0,Chef 1,Sunday,14.0,Deliveruu Inc.,Munich District One,Adult
7897,1267,14/04/2018 23:18,Payment customer,A,Munich District Five,5.0,3.0,Chef 2,Saturday,14.0,TownExpress Inc. ,Munich District One,Teenager
7898,1267,14/04/2018 23:18,Payment customer,A,Munich District Five,4.0,2.0,Waiter,Friday,13.0,Deliver Now Holding,Munich District One,Student
7899,1268,17/06/2018 14:32,Order by phone,A,Munich District Two,12.0,1.0,Chef 2,Friday,12.0,Deliver Now Holding,Munich District One,Student
7900,1268,17/06/2018 14:32,Order by phone,A,Munich District Two,47.0,4.0,Ingredients,Thursday,14.0,Heropizza Lmtd.,Munich District Four,Student
7901,1268,17/06/2018 14:32,Order by phone,A,Munich District Two,29.0,4.0,Delivery Guy 2,Sunday,21.0,Feedera SE,Munich District One,Teenager
7902,1268,17/06/2018 14:32,Order by phone,A,Munich District Two,5.0,3.0,Chef 2,Saturday,19.0,BestOrder Inc.,Munich District Two,Student
7903,1268,17/06/2018 14:32,Order by phone,A,Munich District Two,10.0,2.0,Delivery Scooters ,Sunday,13.0,Deliver Now Holding,Munich District One,Teenager
7904,1268,17/06/2018 14:32,Order by phone,A,Munich District Two,1.0,1.0,Chef 1,Saturday,18.0,Orderly SE,Munich District One,Student
7905,1269,17/06/2018 14:33,Start preparing pizza,A,Munich District Two,12.0,1.0,Chef 2,Friday,12.0,Deliver Now Holding,Munich District One,Student
7906,1269,17/06/2018 14:33,Start preparing pizza,A,Munich District Two,47.0,4.0,Ingredients,Thursday,14.0,Heropizza Lmtd.,Munich District Four,Student
7907,1269,17/06/2018 14:33,Start preparing pizza,A,Munich District Two,29.0,4.0,Delivery Guy 2,Sunday,21.0,Feedera SE,Munich District One,Teenager
7908,1269,17/06/2018 14:33,Start preparing pizza,A,Munich District Two,5.0,3.0,Chef 2,Saturday,19.0,BestOrder Inc.,Munich District Two,Student
7909,1269,17/06/2018 14:33,Start preparing pizza,A,Munich District Two,10.0,2.0,Delivery Scooters ,Sunday,13.0,Deliver Now Holding,Munich District One,Teenager
7910,1269,17/06/2018 14:33,Start preparing pizza,A,Munich District Two,1.0,1.0,Chef 1,Saturday,18.0,Orderly SE,Munich District One,Student
7911,1270,17/06/2018 14:36,Start baking pizza,A,Munich District Two,12.0,1.0,Chef 2,Friday,12.0,Deliver Now Holding,Munich District One,Student
7912,1270,17/06/2018 14:36,Start baking pizza,A,Munich District Two,47.0,4.0,Ingredients,Thursday,14.0,Heropizza Lmtd.,Munich District Four,Student
7913,1270,17/06/2018 14:36,Start baking pizza,A,Munich District Two,29.0,4.0,Delivery Guy 2,Sunday,21.0,Feedera SE,Munich District One,Teenager
7914,1270,17/06/2018 14:36,Start baking pizza,A,Munich District Two,5.0,3.0,Chef 2,Saturday,19.0,BestOrder Inc.,Munich District Two,Student
7915,1270,17/06/2018 14:36,Start baking pizza,A,Munich District Two,10.0,2.0,Delivery Scooters ,Sunday,13.0,Deliver Now Holding,Munich District One,Teenager
7916,1270,17/06/2018 14:36,Start baking pizza,A,Munich District Two,1.0,1.0,Chef 1,Saturday,18.0,Orderly SE,Munich District One,Student
7917,1271,17/06/2018 14:39,Baking pizza ready,B,Munich District Two,12.0,1.0,Chef 2,Friday,12.0,Deliver Now Holding,Munich District One,Student
7918,1271,17/06/2018 14:39,Baking pizza ready,B,Munich District Two,47.0,4.0,Ingredients,Thursday,14.0,Heropizza Lmtd.,Munich District Four,Student
7919,1271,17/06/2018 14:39,Baking pizza ready,B,Munich District Two,29.0,4.0,Delivery Guy 2,Sunday,21.0,Feedera SE,Munich District One,Teenager
7920,1271,17/06/2018 14:39,Baking pizza ready,B,Munich District Two,5.0,3.0,Chef 2,Saturday,19.0,BestOrder Inc.,Munich District Two,Student
7921,1271,17/06/2018 14:39,Baking pizza ready,B,Munich District Two,10.0,2.0,Delivery Scooters ,Sunday,13.0,Deliver Now Holding,Munich District One,Teenager
7922,1271,17/06/2018 14:39,Baking pizza ready,B,Munich District Two,1.0,1.0,Chef 1,Saturday,18.0,Orderly SE,Munich District One,Student
7923,1272,17/06/2018 14:41,Plan route,A,Munich District Two,12.0,1.0,Chef 2,Friday,12.0,Deliver Now Holding,Munich District One,Student
7924,1272,17/06/2018 14:41,Plan route,A,Munich District Two,47.0,4.0,Ingredients,Thursday,14.0,Heropizza Lmtd.,Munich District Four,Student
7925,1272,17/06/2018 14:41,Plan route,A,Munich District Two,29.0,4.0,Delivery Guy 2,Sunday,21.0,Feedera SE,Munich District One,Teenager
7926,1272,17/06/2018 14:41,Plan route,A,Munich District Two,5.0,3.0,Chef 2,Saturday,19.0,BestOrder Inc.,Munich District Two,Student
7927,1272,17/06/2018 14:41,Plan route,A,Munich District Two,10.0,2.0,Delivery Scooters ,Sunday,13.0,Deliver Now Holding,Munich District One,Teenager
7928,1272,17/06/2018 14:41,Plan route,A,Munich District Two,1.0,1.0,Chef 1,Saturday,18.0,Orderly SE,Munich District One,Student
7929,1273,17/06/2018 14:42,Departure pizza,A,Munich District Two,12.0,1.0,Chef 2,Friday,12.0,Deliver Now Holding,Munich District One,Student
7930,1273,17/06/2018 14:42,Departure pizza,A,Munich District Two,47.0,4.0,Ingredients,Thursday,14.0,Heropizza Lmtd.,Munich District Four,Student
7931,1273,17/06/2018 14:42,Departure pizza,A,Munich District Two,29.0,4.0,Delivery Guy 2,Sunday,21.0,Feedera SE,Munich District One,Teenager
7932,1273,17/06/2018 14:42,Departure pizza,A,Munich District Two,5.0,3.0,Chef 2,Saturday,19.0,BestOrder Inc.,Munich District Two,Student
7933,1273,17/06/2018 14:42,Departure pizza,A,Munich District Two,10.0,2.0,Delivery Scooters ,Sunday,13.0,Deliver Now Holding,Munich District One,Teenager
7934,1273,17/06/2018 14:42,Departure pizza,A,Munich District Two,1.0,1.0,Chef 1,Saturday,18.0,Orderly SE,Munich District One,Student
7935,1274,17/06/2018 14:48,Pizza arrives at customer,A,Munich District Two,12.0,1.0,Chef 2,Friday,12.0,Deliver Now Holding,Munich District One,Student
7936,1274,17/06/2018 14:48,Pizza arrives at customer,A,Munich District Two,47.0,4.0,Ingredients,Thursday,14.0,Heropizza Lmtd.,Munich District Four,Student
7937,1274,17/06/2018 14:48,Pizza arrives at customer,A,Munich District Two,29.0,4.0,Delivery Guy 2,Sunday,21.0,Feedera SE,Munich District One,Teenager
7938,1274,17/06/2018 14:48,Pizza arrives at customer,A,Munich District Two,5.0,3.0,Chef 2,Saturday,19.0,BestOrder Inc.,Munich District Two,Student
7939,1274,17/06/2018 14:48,Pizza arrives at customer,A,Munich District Two,10.0,2.0,Delivery Scooters ,Sunday,13.0,Deliver Now Holding,Munich District One,Teenager
7940,1274,17/06/2018 14:48,Pizza arrives at customer,A,Munich District Two,1.0,1.0,Chef 1,Saturday,18.0,Orderly SE,Munich District One,Student
7941,1275,17/06/2018 14:55,Payment customer,A,Munich District Two,12.0,1.0,Chef 2,Friday,12.0,Deliver Now Holding,Munich District One,Student
7942,1275,17/06/2018 14:55,Payment customer,A,Munich District Two,47.0,4.0,Ingredients,Thursday,14.0,Heropizza Lmtd.,Munich District Four,Student
7943,1275,17/06/2018 14:55,Payment customer,A,Munich District Two,29.0,4.0,Delivery Guy 2,Sunday,21.0,Feedera SE,Munich District One,Teenager
7944,1275,17/06/2018 14:55,Payment customer,A,Munich District Two,5.0,3.0,Chef 2,Saturday,19.0,BestOrder Inc.,Munich District Two,Student
7945,1275,17/06/2018 14:55,Payment customer,A,Munich District Two,10.0,2.0,Delivery Scooters ,Sunday,13.0,Deliver Now Holding,Munich District One,Teenager
7946,1275,17/06/2018 14:55,Payment customer,A,Munich District Two,1.0,1.0,Chef 1,Saturday,18.0,Orderly SE,Munich District One,Student
7947,1276,07/06/2018 04:50,Order at the counter (shop),A,Munich District Two,16.0,3.0,Distribution channel fees,Friday,13.0,Deliver Now Holding,Munich District One,Adult
7948,1276,07/06/2018 04:50,Order at the counter (shop),A,Munich District Two,10.0,4.0,Ingredients,Friday,12.0,Deliver Now Holding,Munich District Four,Student
7949,1276,07/06/2018 04:50,Order at the counter (shop),A,Munich District Two,56.0,3.0,Waiter,Sunday,18.0,Deliver Now Holding,Munich District One,Teenager
7950,1276,07/06/2018 04:50,Order at the counter (shop),A,Munich District Two,13.0,4.0,Waiter,Tuesday,13.0,Deliveruu Inc.,Munich District One,Senior
7951,1276,07/06/2018 04:50,Order at the counter (shop),A,Munich District Two,35.0,1.0,Chef 2,Monday,21.0,Feedera SE,Munich District One,Teenager
7952,1276,07/06/2018 04:50,Order at the counter (shop),A,Munich District Two,12.0,0.0,Delivery Scooters ,Sunday,18.0,BestOrder Inc.,Munich District One,Student
7953,1276,07/06/2018 04:50,Order at the counter (shop),A,Munich District Two,47.0,0.0,Chef 1,Sunday,13.0,Orderly SE,Munich District One,Senior
7954,1276,07/06/2018 04:50,Order at the counter (shop),A,Munich District Two,5.0,0.0,Ingredients,Saturday,12.0,Orderly SE,Munich District One,Teenager
7955,1276,07/06/2018 04:50,Order at the counter (shop),A,Munich District Two,9.0,5.0,Phone Bill,Saturday,18.0,Feedera SE,Munich District Four,Student
7956,1276,07/06/2018 04:50,Order at the counter (shop),A,Munich District Two,2.0,3.0,Ingredients,Thursday,20.0,BestOrder Inc.,Munich District Four,Student
7957,1277,07/06/2018 04:52,Start preparing pizza,A,Munich District Two,16.0,3.0,Distribution channel fees,Friday,13.0,Deliver Now Holding,Munich District One,Adult
7958,1277,07/06/2018 04:52,Start preparing pizza,A,Munich District Two,10.0,4.0,Ingredients,Friday,12.0,Deliver Now Holding,Munich District Four,Student
7959,1277,07/06/2018 04:52,Start preparing pizza,A,Munich District Two,56.0,3.0,Waiter,Sunday,18.0,Deliver Now Holding,Munich District One,Teenager
7960,1277,07/06/2018 04:52,Start preparing pizza,A,Munich District Two,13.0,4.0,Waiter,Tuesday,13.0,Deliveruu Inc.,Munich District One,Senior
7961,1277,07/06/2018 04:52,Start preparing pizza,A,Munich District Two,35.0,1.0,Chef 2,Monday,21.0,Feedera SE,Munich District One,Teenager
7962,1277,07/06/2018 04:52,Start preparing pizza,A,Munich District Two,12.0,0.0,Delivery Scooters ,Sunday,18.0,BestOrder Inc.,Munich District One,Student
7963,1277,07/06/2018 04:52,Start preparing pizza,A,Munich District Two,47.0,0.0,Chef 1,Sunday,13.0,Orderly SE,Munich District One,Senior
7964,1277,07/06/2018 04:52,Start preparing pizza,A,Munich District Two,5.0,0.0,Ingredients,Saturday,12.0,Orderly SE,Munich District One,Teenager
7965,1277,07/06/2018 04:52,Start preparing pizza,A,Munich District Two,9.0,5.0,Phone Bill,Saturday,18.0,Feedera SE,Munich District Four,Student
7966,1277,07/06/2018 04:52,Start preparing pizza,A,Munich District Two,2.0,3.0,Ingredients,Thursday,20.0,BestOrder Inc.,Munich District Four,Student
7967,1278,07/06/2018 04:56,Start baking pizza,B,Munich District Two,16.0,3.0,Distribution channel fees,Friday,13.0,Deliver Now Holding,Munich District One,Adult
7968,1278,07/06/2018 04:56,Start baking pizza,B,Munich District Two,10.0,4.0,Ingredients,Friday,12.0,Deliver Now Holding,Munich District Four,Student
7969,1278,07/06/2018 04:56,Start baking pizza,B,Munich District Two,56.0,3.0,Waiter,Sunday,18.0,Deliver Now Holding,Munich District One,Teenager
7970,1278,07/06/2018 04:56,Start baking pizza,B,Munich District Two,13.0,4.0,Waiter,Tuesday,13.0,Deliveruu Inc.,Munich District One,Senior
7971,1278,07/06/2018 04:56,Start baking pizza,B,Munich District Two,35.0,1.0,Chef 2,Monday,21.0,Feedera SE,Munich District One,Teenager
7972,1278,07/06/2018 04:56,Start baking pizza,B,Munich District Two,12.0,0.0,Delivery Scooters ,Sunday,18.0,BestOrder Inc.,Munich District One,Student
7973,1278,07/06/2018 04:56,Start baking pizza,B,Munich District Two,47.0,0.0,Chef 1,Sunday,13.0,Orderly SE,Munich District One,Senior
7974,1278,07/06/2018 04:56,Start baking pizza,B,Munich District Two,5.0,0.0,Ingredients,Saturday,12.0,Orderly SE,Munich District One,Teenager
7975,1278,07/06/2018 04:56,Start baking pizza,B,Munich District Two,9.0,5.0,Phone Bill,Saturday,18.0,Feedera SE,Munich District Four,Student
7976,1278,07/06/2018 04:56,Start baking pizza,B,Munich District Two,2.0,3.0,Ingredients,Thursday,20.0,BestOrder Inc.,Munich District Four,Student
7977,1279,07/06/2018 05:01,Payment customer,A,Munich District Two,16.0,3.0,Distribution channel fees,Friday,13.0,Deliver Now Holding,Munich District One,Adult
