_CASE_KEY;Variant;Customer_ID;Revenue;Costs;Pizza Type;Pizza Size;Customer Satisfaction;Cost Factor;Weekday;Daytime;Distribution Channel;Customer Location;Customer Type
900;1;157;21;12;Salami;Small;1;Delivery Guy 1 ;Sunday;18;Feedera SE;Munich District Four;Teenager
151;1;267;5;46;Funghi;Small;0;Ingredients;Sunday;19;TownExpress Inc. ;Munich District One;Adult
1172;1;53;24;2;Magherita;Small;3;Chef 2;Friday;13;BestOrder Inc.;Munich District Four;Adult
278;1;147;11;25;Magherita;Medium;0;Chef 2;Wednesday;20;BestOrder Inc.;Munich District One;Senior
1582;1;50;10;47;Salami;Small;1;Delivery Scooters ;Friday;11;Deliver Now Holding;Munich District One;Student
1654;1;12;44;9;Magherita;Large;4;Waiter;Friday;14;BestOrder Inc.;Munich District Two;Student
782;1;49;29;47;Salami;Small;5;Delivery Guy 2;Friday;13;Orderly SE;Munich District Three;Student
1638;1;264;38;3;Salami;Medium;1;Ingredients;Friday;21;Feedera SE;Munich District Three;Teenager
1571;1;200;10;8;Salami;Large;2;Ingredients;Saturday;18;TownExpress Inc. ;Munich District Four;Adult
1008;1;148;44;37;Magherita;Small;1;Chef 2;Thursday;11;BestOrder Inc.;Munich District One;Student
1677;1;139;60;2;Calzone;Large;0;Phone Bill;Friday;19;BestOrder Inc.;Munich District One;Senior
1140;1;198;55;44;Speciale;Medium;3;Chef 2;Saturday;12;BestOrder Inc.;Munich District One;Student
1262;1;222;29;2;Funghi;Small;5;Phone Bill;Monday;12;Deliver Now Holding;Munich District Five;Student
1570;1;185;20;25;Funghi;Large;5;Delivery Scooters ;Saturday;17;Deliver Now Holding;Munich District One;Student
1524;1;62;21;4;Funghi;Small;4;Phone Bill;Friday;11;TownExpress Inc. ;Munich District Two;Teenager
1173;1;48;46;9;Veggie;Small;5;Waiter;Friday;15;BestOrder Inc.;Munich District One;Teenager
1559;1;300;16;2;Speciale;Medium;3;Waiter;Saturday;14;BestOrder Inc.;Munich District One;Student
1803;1;258;16;35;Funghi;Large;5;Delivery Guy 2;Saturday;18;BestOrder Inc.;Munich District One;Student
31;1;109;9;10;Magherita;Medium;3;Delivery Scooters ;Monday;19;Deliveruu Inc.;Munich District One;Adult
1050;1;184;29;22;Salami;Small;1;Chef 2;Sunday;12;Feedera SE;Munich District One;Student
1994;1;4;11;8;Magherita;Large;1;Chef 1;Sunday;14;Deliveruu Inc.;Munich District One;Student
1640;1;156;47;9;Funghi;Large;1;Waiter;Friday;11;BestOrder Inc.;Munich District Three;Student
585;1;282;12;37;Salami;Medium;1;Delivery Guy 2;Thursday;21;Deliver Now Holding;Munich District Two;Teenager
912;1;57;51;16;Funghi;Small;1;Chef 2;Saturday;14;Feedera SE;Munich District One;Student
1641;1;68;37;17;Salami;Small;5;Delivery Scooters ;Friday;12;Deliver Now Holding;Munich District One;Student
96;1;293;8;15;Calzone;Small;1;Delivery Guy 2;Sunday;17;BestOrder Inc.;Munich District One;Adult
638;1;291;21;7;Salami;Large;3;Delivery Scooters ;Thursday;11;BestOrder Inc.;Munich District Two;Student
1767;1;170;5;1;Calzone;Small;3;Delivery Guy 1 ;Friday;13;TownExpress Inc. ;Munich District One;Teenager
1849;1;187;9;2;Funghi;Large;4;Chef 1;Saturday;11;BestOrder Inc.;Munich District Two;Student
1923;1;214;8;10;Funghi;Large;3;Chef 2;Friday;18;Deliver Now Holding;Munich District One;Adult
664;1;286;8;35;Funghi;Small;1;Delivery Guy 2;Saturday;18;Deliver Now Holding;Munich District Five;Student
636;1;130;13;25;Calzone;Small;1;Ingredients;Sunday;12;Deliver Now Holding;Munich District Three;Teenager
1382;1;177;38;13;Funghi;Small;3;Delivery Guy 1 ;Sunday;19;TownExpress Inc. ;Munich District Three;Student
500;1;275;29;10;Salami;Large;3;Ingredients;Saturday;10;Deliver Now Holding;Munich District One;Student
191;1;272;9;2;Magherita;Small;5;Ingredients;Sunday;18;Feedera SE;Munich District Three;Teenager
1595;1;258;54;8;Funghi;Medium;0;Chef 1;Wednesday;18;BestOrder Inc.;Munich District Two;Teenager
554;1;190;10;8;Calzone;Small;1;Phone Bill;Saturday;12;BestOrder Inc.;Munich District One;Adult
1534;1;206;24;5;Magherita;Large;3;Delivery Scooters ;Tuesday;12;BestOrder Inc.;Munich District Five;Student
508;1;223;33;50;Salami;Large;4;Phone Bill;Sunday;11;Deliveruu Inc.;Munich District One;Student
1581;1;217;35;10;Funghi;Medium;4;Ingredients;Sunday;21;Heropizza Lmtd.;Munich District One;Student
1451;1;220;30;16;Funghi;Large;3;Chef 2;Sunday;20;Deliver Now Holding;Munich District One;Student
573;1;40;21;7;Calzone;Small;5;Ingredients;Friday;15;Feedera SE;Munich District One;Student
1032;1;235;43;10;Funghi;Large;5;Chef 2;Sunday;20;Feedera SE;Munich District Three;Student
1333;1;255;21;16;Salami;Small;3;Chef 2;Saturday;21;BestOrder Inc.;Munich District One;Adult
1565;1;78;8;9;Salami;Large;3;Ingredients;Saturday;19;Feedera SE;Munich District Three;Student
1423;1;210;21;1;Paprika;Large;1;Waiter;Sunday;15;Deliver Now Holding;Munich District One;Teenager
56;1;167;43;8;Salami;Large;4;Delivery Guy 2;Sunday;21;Deliver Now Holding;Munich District One;Adult
548;1;158;22;2;Funghi;Small;3;Ingredients;Sunday;12;Feedera SE;Munich District Four;Adult
658;1;189;31;13;Magherita;Small;1;Ingredients;Saturday;12;Deliver Now Holding;Munich District One;Teenager
70;1;295;21;56;Speciale;Medium;1;Phone Bill;Tuesday;18;Deliver Now Holding;Munich District One;Student
475;1;225;36;11;Veggie;Large;4;Waiter;Monday;17;Feedera SE;Munich District Four;Student
142;1;231;13;7;Calzone;Small;2;Waiter;Friday;21;Orderly SE;Munich District One;Student
1850;1;253;6;25;Funghi;Medium;1;Chef 2;Saturday;20;BestOrder Inc.;Munich District One;Senior
1596;1;222;36;10;Funghi;Small;5;Delivery Scooters ;Wednesday;12;BestOrder Inc.;Munich District One;Senior
1297;1;204;25;20;Salami;Small;1;Chef 1;Sunday;15;Deliveruu Inc.;Munich District Two;Student
671;1;131;21;60;Calzone;Small;4;Chef 2;Sunday;14;Deliveruu Inc.;Munich District One;Teenager
167;1;79;36;46;Salami;Small;3;Ingredients;Friday;19;Deliver Now Holding;Munich District One;Student
1935;1;260;29;13;Magherita;Small;1;Chef 1;Friday;13;Deliver Now Holding;Munich District Five;Teenager
1525;1;18;9;29;Funghi;Small;3;Chef 1;Wednesday;18;Feedera SE;Munich District One;Student
1424;1;103;5;17;Magherita;Large;3;Chef 2;Friday;12;Deliver Now Holding;Munich District One;Student
663;1;94;11;16;Funghi;Medium;4;Delivery Scooters ;Friday;12;Deliveruu Inc.;Munich District Three;Student
1694;1;208;44;2;Funghi;Large;3;Chef 1;Saturday;18;Feedera SE;Munich District Three;Adult
1047;1;222;21;2;Veggie;Medium;3;Delivery Scooters ;Monday;14;Feedera SE;Munich District Two;Student
1598;1;129;11;3;Speciale;Medium;1;Waiter;Friday;11;TownExpress Inc. ;Munich District Four;Adult
1345;1;169;9;22;Funghi;Large;1;Delivery Guy 2;Wednesday;12;Deliver Now Holding;Munich District One;Student
1982;1;248;36;32;Magherita;Large;3;Chef 2;Friday;19;Feedera SE;Munich District One;Student
999;2;29;28;16;Salami;Small;4;Ingredients;Tuesday;18;BestOrder Inc.;Munich District One;Adult
351;2;59;11;11;Salami;Small;5;Delivery Scooters ;Saturday;19;Deliver Now Holding;Munich District Two;Student
890;2;204;9;1;Speciale;Small;3;Ingredients;Monday;12;Deliver Now Holding;Munich District One;Adult
820;2;206;21;8;Veggie;Small;4;Delivery Guy 1 ;Saturday;13;BestOrder Inc.;Munich District One;Student
1532;2;151;39;47;Calzone;Small;4;Ingredients;Thursday;14;Heropizza Lmtd.;Munich District Four;Student
1014;2;56;29;13;Funghi;Small;4;Ingredients;Sunday;12;BestOrder Inc.;Munich District One;Teenager
684;2;24;30;2;Speciale;Small;3;Waiter;Friday;12;Feedera SE;Munich District Four;Student
653;2;129;36;8;Salami;Large;5;Chef 1;Friday;19;Deliver Now Holding;Munich District Five;Teenager
649;2;152;21;16;Funghi;Small;3;Distribution channel fees;Friday;13;Deliver Now Holding;Munich District One;Adult
1128;2;71;32;7;Calzone;Large;3;Waiter;Friday;18;Deliveruu Inc.;Munich District One;Student
1732;2;79;31;13;Salami;Small;4;Delivery Scooters ;Thursday;18;BestOrder Inc.;Munich District One;Student
1873;2;221;11;46;Magherita;Small;3;Chef 2;Sunday;13;Feedera SE;Munich District Two;Student
271;2;274;10;7;Magherita;Medium;4;Waiter;Friday;12;BestOrder Inc.;Munich District Four;Student
646;2;276;36;10;Salami;Small;4;Ingredients;Sunday;12;Deliveruu Inc.;Munich District Three;Teenager
1455;2;150;11;29;Funghi;Medium;3;Waiter;Tuesday;19;Deliveruu Inc.;Munich District Five;Student
601;2;250;21;13;Salami;Large;3;Chef 2;Saturday;12;Feedera SE;Munich District One;Teenager
718;2;61;36;11;Calzone;Small;4;Chef 2;Sunday;11;BestOrder Inc.;Munich District One;Student
1778;2;124;11;10;Funghi;Small;5;Delivery Scooters ;Saturday;15;Deliver Now Holding;Munich District One;Student
1048;2;84;21;16;Magherita;Large;2;Chef 1;Sunday;12;Feedera SE;Munich District Three;Adult
1289;2;259;5;15;Funghi;Small;4;Delivery Guy 2;Sunday;12;Feedera SE;Munich District One;Teenager
1574;2;274;5;2;Salami;Small;3;Delivery Guy 1 ;Saturday;11;Feedera SE;Munich District Three;Teenager
187;2;72;11;31;Salami;Small;5;Delivery Guy 2;Sunday;16;Deliver Now Holding;Munich District One;Adult
1434;2;163;35;9;Funghi;Large;4;Waiter;Friday;21;BestOrder Inc.;Munich District One;Teenager
1633;2;74;10;4;Calzone;Small;4;Waiter;Sunday;12;BestOrder Inc.;Munich District Two;Teenager
1246;2;81;10;12;Salami;Small;4;Delivery Scooters ;Friday;18;Heropizza Lmtd.;Munich District One;Adult
443;2;216;9;2;Magherita;Small;3;Ingredients;Friday;14;BestOrder Inc.;Munich District Four;Senior
488;2;162;36;7;Funghi;Medium;4;Waiter;Saturday;15;Deliver Now Holding;Munich District One;Student
1054;2;24;38;38;Magherita;Large;3;Chef 2;Friday;13;Deliver Now Holding;Munich District Four;Student
1152;2;106;10;17;Salami;Small;4;Phone Bill;Wednesday;18;Deliver Now Holding;Munich District One;Student
292;2;83;36;13;Calzone;Small;5;Ingredients;Saturday;12;Feedera SE;Munich District One;Student
495;2;154;10;3;Speciale;Small;5;Waiter;Sunday;11;Deliveruu Inc.;Munich District One;Student
938;2;126;4;3;Salami;Medium;3;Chef 2;Thursday;18;Deliver Now Holding;Munich District Five;Student
749;2;229;24;44;Funghi;Small;3;Chef 2;Sunday;19;Feedera SE;Munich District One;Student
1488;2;108;21;5;Salami;Small;4;Ingredients;Sunday;14;Feedera SE;Munich District Four;Teenager
546;2;247;6;5;Veggie;Large;4;Chef 1;Sunday;13;Deliver Now Holding;Munich District One;Student
445;2;178;55;16;Calzone;Medium;3;Waiter;Sunday;11;Deliver Now Holding;Munich District One;Student
1051;2;50;29;2;Salami;Large;4;Delivery Scooters ;Monday;19;Deliveruu Inc.;Munich District One;Student
564;2;229;47;5;Speciale;Small;4;Ingredients;Sunday;18;BestOrder Inc.;Munich District One;Teenager
705;2;215;8;43;Salami;Small;4;Ingredients;Sunday;18;Feedera SE;Munich District Three;Student
148;2;55;6;13;Salami;Small;5;Waiter;Friday;19;Orderly SE;Munich District One;Adult
1749;2;101;21;2;Salami;Medium;4;Ingredients;Saturday;13;Deliveruu Inc.;Munich District One;Student
689;2;143;10;2;Salami;Small;3;Chef 2;Friday;18;BestOrder Inc.;Munich District Four;Student
1010;2;285;11;11;Salami;Small;4;Delivery Scooters ;Sunday;21;BestOrder Inc.;Munich District One;Teenager
1617;2;51;36;11;Calzone;Medium;3;Delivery Scooters ;Sunday;12;Feedera SE;Munich District Three;Student
1879;2;275;6;39;Salami;Large;4;Ingredients;Sunday;13;BestOrder Inc.;Munich District One;Adult
392;2;251;21;5;Salami;Small;3;Ingredients;Saturday;18;TownExpress Inc. ;Munich District Five;Student
1997;2;276;9;11;Magherita;Small;5;Ingredients;Sunday;12;Feedera SE;Munich District One;Adult
261;2;262;36;7;Calzone;Medium;3;Chef 2;Friday;13;Feedera SE;Munich District One;Student
263;2;293;9;51;Magherita;Small;3;Chef 2;Wednesday;10;BestOrder Inc.;Munich District Three;Student
371;2;43;36;5;Funghi;Small;3;Chef 1;Saturday;17;BestOrder Inc.;Munich District One;Student
1279;2;281;36;35;Paprika;Small;3;Delivery Guy 2;Sunday;12;BestOrder Inc.;Munich District Two;Student
916;2;188;9;7;Salami;Small;3;Chef 1;Sunday;12;Deliveruu Inc.;Munich District Four;Student
1130;2;127;29;28;Magherita;Small;3;Chef 2;Friday;21;Deliver Now Holding;Munich District Three;Student
1071;2;22;10;2;Speciale;Large;4;Delivery Guy 2;Sunday;18;Feedera SE;Munich District Two;Student
1821;2;215;9;9;Salami;Large;3;Delivery Guy 2;Saturday;12;Deliver Now Holding;Munich District One;Adult
1780;2;15;11;23;Speciale;Medium;5;Chef 1;Friday;19;TownExpress Inc. ;Munich District One;Student
2000;2;127;10;11;Salami;Small;3;Waiter;Saturday;18;Heropizza Lmtd.;Munich District Four;Teenager
516;2;261;36;13;Speciale;Medium;4;Phone Bill;Sunday;15;Deliver Now Holding;Munich District One;Student
1421;2;119;21;16;Salami;Large;4;Delivery Guy 1 ;Sunday;18;Deliver Now Holding;Munich District Five;Senior
566;2;173;10;3;Funghi;Small;3;Chef 2;Friday;12;Deliver Now Holding;Munich District Two;Adult
897;2;169;32;9;Magherita;Small;2;Delivery Scooters ;Saturday;19;BestOrder Inc.;Munich District Three;Student
487;2;232;10;10;Salami;Large;3;Delivery Scooters ;Sunday;13;Feedera SE;Munich District One;Teenager
1512;2;115;11;11;Veggie;Small;4;Ingredients;Sunday;12;BestOrder Inc.;Munich District Three;Teenager
8;2;280;50;9;Funghi;Large;4;Chef 1;Saturday;13;Deliveruu Inc.;Munich District Four;Student
700;2;284;44;13;Calzone;Medium;3;Delivery Guy 2;Sunday;13;BestOrder Inc.;Munich District Four;Teenager
1816;2;134;36;22;Funghi;Small;4;Delivery Scooters ;Sunday;14;Deliver Now Holding;Munich District One;Student
528;2;151;36;29;Calzone;Large;4;Delivery Guy 2;Sunday;21;Feedera SE;Munich District One;Teenager
1081;2;166;12;9;Funghi;Small;4;Distribution channel fees;Tuesday;13;Feedera SE;Munich District One;Adult
447;2;232;5;43;Salami;Large;4;Distribution channel fees;Thursday;12;Deliveruu Inc.;Munich District Five;Student
12;2;148;5;11;Funghi;Small;3;Chef 1;Sunday;14;BestOrder Inc.;Munich District Three;Teenager
793;2;188;5;7;Salami;Small;3;Delivery Scooters ;Friday;14;BestOrder Inc.;Munich District Three;Student
329;2;182;36;7;Calzone;Small;4;Chef 1;Wednesday;13;Deliver Now Holding;Munich District Two;Student
1485;2;189;32;2;Magherita;Large;3;Waiter;Wednesday;11;BestOrder Inc.;Munich District One;Student
161;2;275;28;10;Salami;Medium;2;Delivery Guy 2;Saturday;12;Feedera SE;Munich District One;Teenager
1844;2;121;8;10;Magherita;Small;4;Chef 2;Saturday;18;TownExpress Inc. ;Munich District One;Student
1098;2;34;11;7;Veggie;Large;4;Waiter;Sunday;15;Deliveruu Inc.;Munich District Three;Student
1689;2;294;44;5;Veggie;Medium;5;Chef 2;Wednesday;12;Deliver Now Holding;Munich District One;Adult
369;2;129;4;25;Magherita;Large;2;Waiter;Friday;12;Feedera SE;Munich District Three;Teenager
208;2;137;29;11;Magherita;Small;3;Chef 1;Saturday;18;Feedera SE;Munich District Four;Teenager
1611;2;74;39;8;Salami;Small;3;Chef 2;Thursday;18;Feedera SE;Munich District Five;Student
599;2;46;29;31;Paprika;Medium;5;Waiter;Tuesday;12;Deliver Now Holding;Munich District Two;Adult
891;2;33;9;2;Magherita;Small;5;Delivery Scooters ;Sunday;19;BestOrder Inc.;Munich District Two;Teenager
1853;2;214;21;8;Salami;Small;4;Waiter;Monday;11;Deliver Now Holding;Munich District One;Senior
602;2;20;8;56;Calzone;Small;3;Chef 2;Wednesday;12;Orderly SE;Munich District One;Student
841;2;126;11;10;Magherita;Medium;2;Delivery Scooters ;Saturday;21;Deliver Now Holding;Munich District One;Student
1891;2;248;6;10;Calzone;Large;5;Delivery Scooters ;Friday;13;Feedera SE;Munich District Five;Student
864;2;30;20;23;Funghi;Small;4;Phone Bill;Sunday;19;BestOrder Inc.;Munich District Three;Student
1750;2;184;21;10;Funghi;Large;4;Waiter;Friday;18;TownExpress Inc. ;Munich District Two;Student
943;2;93;11;29;Speciale;Small;3;Delivery Scooters ;Saturday;13;Deliveruu Inc.;Munich District One;Teenager
6;2;101;10;5;Magherita;Large;3;Chef 1;Friday;11;BestOrder Inc.;Munich District Two;Adult
722;2;35;10;3;Speciale;Medium;4;Delivery Scooters ;Saturday;18;Feedera SE;Munich District One;Teenager
1970;2;259;10;29;Magherita;Small;2;Phone Bill;Sunday;21;Deliver Now Holding;Munich District Five;Teenager
1064;2;148;29;7;Magherita;Small;4;Waiter;Sunday;11;Deliver Now Holding;Munich District Two;Teenager
225;2;125;9;7;Speciale;Large;3;Chef 1;Sunday;12;BestOrder Inc.;Munich District Three;Senior
787;2;287;19;11;Veggie;Large;4;Delivery Scooters ;Friday;17;BestOrder Inc.;Munich District Three;Teenager
572;2;50;5;7;Calzone;Large;4;Delivery Guy 2;Wednesday;13;BestOrder Inc.;Munich District Five;Student
95;2;176;29;2;Salami;Medium;4;Chef 1;Monday;13;BestOrder Inc.;Munich District Four;Senior
1295;2;276;36;2;Salami;Small;4;Delivery Scooters ;Monday;14;Deliver Now Holding;Munich District One;Student
1783;2;150;21;7;Magherita;Large;2;Chef 2;Sunday;17;Feedera SE;Munich District Three;Teenager
871;2;40;5;10;Funghi;Small;3;Waiter;Tuesday;20;Orderly SE;Munich District Two;Teenager
1225;2;277;8;46;Salami;Large;3;Ingredients;Friday;12;TownExpress Inc. ;Munich District One;Teenager
1327;2;239;53;10;Salami;Large;3;Chef 2;Sunday;10;BestOrder Inc.;Munich District Two;Student
1299;2;148;8;11;Speciale;Medium;4;Delivery Scooters ;Friday;20;BestOrder Inc.;Munich District One;Student
1063;2;198;21;2;Salami;Small;5;Waiter;Saturday;10;Feedera SE;Munich District Two;Student
212;2;61;60;11;Funghi;Large;5;Chef 2;Friday;20;Deliveruu Inc.;Munich District Two;Student
1245;2;285;43;38;Salami;Large;4;Chef 1;Saturday;14;Deliver Now Holding;Munich District One;Teenager
1588;2;132;37;16;Salami;Medium;3;Delivery Guy 2;Wednesday;14;Feedera SE;Munich District Two;Student
36;2;183;10;8;Funghi;Medium;3;Delivery Guy 1 ;Saturday;13;Deliver Now Holding;Munich District Four;Student
1328;2;136;56;11;Funghi;Small;3;Delivery Guy 1 ;Wednesday;12;Deliveruu Inc.;Munich District One;Adult
201;2;253;10;3;Salami;Small;2;Delivery Guy 2;Saturday;20;Feedera SE;Munich District Four;Teenager
1260;2;275;24;9;Salami;Small;5;Chef 1;Friday;17;Orderly SE;Munich District Five;Senior
1249;2;138;10;8;Speciale;Medium;3;Waiter;Saturday;20;Feedera SE;Munich District Two;Teenager
126;2;293;11;10;Funghi;Small;3;Waiter;Friday;13;BestOrder Inc.;Munich District One;Student
1347;2;272;43;9;Funghi;Large;3;Chef 2;Sunday;12;Deliver Now Holding;Munich District One;Student
322;2;191;5;32;Paprika;Small;5;Chef 1;Wednesday;20;BestOrder Inc.;Munich District Five;Teenager
1886;2;177;5;4;Salami;Small;4;Ingredients;Friday;19;BestOrder Inc.;Munich District One;Teenager
1044;2;90;8;4;Salami;Small;4;Waiter;Saturday;18;Deliver Now Holding;Munich District Two;Student
1100;2;259;50;9;Veggie;Small;4;Chef 1;Saturday;11;Feedera SE;Munich District Three;Teenager
38;2;240;34;10;Calzone;Small;5;Chef 2;Monday;11;BestOrder Inc.;Munich District Four;Teenager
558;2;223;11;43;Funghi;Medium;4;Ingredients;Saturday;18;Deliveruu Inc.;Munich District Two;Teenager
883;2;164;6;49;Salami;Large;3;Delivery Scooters ;Sunday;13;Deliveruu Inc.;Munich District Five;Student
1156;2;187;31;35;Paprika;Large;3;Delivery Scooters ;Saturday;11;Deliveruu Inc.;Munich District Three;Senior
1171;2;269;12;10;Funghi;Medium;4;Ingredients;Friday;18;BestOrder Inc.;Munich District One;Student
1061;2;142;21;7;Calzone;Small;4;Ingredients;Saturday;19;Deliver Now Holding;Munich District One;Student
1126;2;285;15;5;Calzone;Small;4;Phone Bill;Sunday;19;Feedera SE;Munich District One;Student
1827;2;46;36;10;Magherita;Small;5;Delivery Guy 2;Sunday;18;BestOrder Inc.;Munich District Four;Student
1727;2;212;10;7;Salami;Large;3;Delivery Scooters ;Friday;19;Orderly SE;Munich District Two;Teenager
1964;2;162;10;50;Veggie;Large;5;Waiter;Friday;13;BestOrder Inc.;Munich District One;Student
1116;2;236;9;9;Funghi;Small;4;Chef 1;Wednesday;12;Deliveruu Inc.;Munich District One;Adult
114;2;94;60;28;Paprika;Small;2;Chef 1;Sunday;12;Feedera SE;Munich District Five;Teenager
383;2;172;11;2;Speciale;Small;3;Ingredients;Saturday;11;BestOrder Inc.;Munich District One;Student
1763;2;97;47;3;Salami;Medium;4;Delivery Scooters ;Thursday;15;Feedera SE;Munich District Three;Teenager
581;2;190;9;8;Funghi;Large;3;Delivery Guy 1 ;Sunday;18;BestOrder Inc.;Munich District One;Student
1704;2;240;56;2;Salami;Small;4;Chef 2;Sunday;14;Deliveruu Inc.;Munich District Four;Adult
1770;2;239;8;11;Funghi;Small;4;Chef 1;Friday;18;Deliveruu Inc.;Munich District Five;Student
1392;2;178;9;43;Salami;Small;4;Delivery Scooters ;Saturday;17;Orderly SE;Munich District Three;Adult
1460;2;286;10;13;Salami;Medium;4;Ingredients;Sunday;11;Deliver Now Holding;Munich District One;Teenager
1045;2;6;15;29;Speciale;Medium;4;Chef 2;Sunday;20;Deliveruu Inc.;Munich District Four;Student
1646;2;172;21;9;Salami;Large;3;Waiter;Thursday;12;BestOrder Inc.;Munich District Four;Adult
543;2;43;11;50;Funghi;Large;4;Delivery Guy 1 ;Saturday;14;Deliver Now Holding;Munich District One;Student
1121;2;98;21;2;Magherita;Medium;4;Chef 1;Sunday;19;BestOrder Inc.;Munich District One;Student
375;2;48;9;5;Funghi;Small;2;Chef 1;Sunday;19;Deliver Now Holding;Munich District Two;Student
1461;2;103;55;3;Magherita;Medium;2;Chef 1;Saturday;20;Feedera SE;Munich District Two;Teenager
896;2;92;5;22;Funghi;Medium;2;Chef 2;Friday;13;BestOrder Inc.;Munich District One;Student
967;2;273;60;7;Veggie;Small;4;Delivery Guy 2;Sunday;12;BestOrder Inc.;Munich District One;Student
1181;2;67;33;35;Magherita;Large;3;Delivery Guy 1 ;Monday;18;TownExpress Inc. ;Munich District One;Student
925;2;263;29;9;Calzone;Medium;3;Waiter;Sunday;21;Deliver Now Holding;Munich District Two;Teenager
296;2;171;38;7;Salami;Large;3;Chef 2;Sunday;12;BestOrder Inc.;Munich District Two;Teenager
965;2;245;21;11;Veggie;Medium;3;Waiter;Tuesday;13;Deliver Now Holding;Munich District One;Senior
547;2;294;6;7;Speciale;Medium;4;Phone Bill;Thursday;14;Orderly SE;Munich District Three;Adult
378;2;57;36;11;Magherita;Medium;4;Chef 2;Sunday;12;Deliveruu Inc.;Munich District Four;Student
1407;2;129;38;10;Veggie;Large;3;Delivery Scooters ;Saturday;12;Deliver Now Holding;Munich District Two;Teenager
518;2;134;10;7;Salami;Medium;4;Waiter;Friday;12;Deliver Now Holding;Munich District Three;Student
235;2;35;9;8;Funghi;Small;4;Delivery Scooters ;Sunday;12;Feedera SE;Munich District Five;Student
1980;2;299;4;2;Salami;Small;3;Chef 1;Sunday;18;Feedera SE;Munich District One;Teenager
1312;2;133;36;10;Calzone;Large;4;Delivery Scooters ;Friday;11;Deliveruu Inc.;Munich District Four;Adult
1362;2;224;21;3;Magherita;Large;4;Phone Bill;Friday;12;Feedera SE;Munich District Three;Teenager
213;2;90;29;44;Veggie;Large;4;Waiter;Sunday;20;Deliveruu Inc.;Munich District One;Teenager
850;2;189;36;9;Salami;Small;4;Delivery Scooters ;Tuesday;19;Deliver Now Holding;Munich District Two;Adult
656;2;198;29;8;Calzone;Small;4;Chef 2;Friday;21;BestOrder Inc.;Munich District One;Teenager
291;2;293;29;4;Speciale;Large;3;Chef 2;Wednesday;18;Feedera SE;Munich District Three;Adult
1809;2;284;51;29;Salami;Medium;4;Ingredients;Friday;18;Feedera SE;Munich District Two;Teenager
1541;2;197;6;3;Speciale;Medium;3;Chef 1;Sunday;12;Deliver Now Holding;Munich District Three;Student
1101;2;267;29;50;Magherita;Small;5;Chef 2;Sunday;13;TownExpress Inc. ;Munich District Three;Student
1687;2;170;29;8;Salami;Small;4;Chef 1;Saturday;16;BestOrder Inc.;Munich District One;Adult
810;2;159;30;5;Veggie;Medium;3;Delivery Guy 2;Saturday;19;Deliveruu Inc.;Munich District Four;Student
1741;2;142;16;22;Speciale;Medium;4;Delivery Guy 2;Sunday;12;BestOrder Inc.;Munich District One;Student
1725;2;248;10;60;Salami;Small;4;Chef 2;Thursday;19;Feedera SE;Munich District One;Teenager
580;2;238;23;11;Salami;Large;4;Waiter;Saturday;16;Deliver Now Holding;Munich District Four;Student
535;2;33;21;4;Funghi;Medium;4;Ingredients;Saturday;13;Orderly SE;Munich District Four;Senior
954;2;290;8;16;Magherita;Small;3;Chef 2;Saturday;13;Deliver Now Holding;Munich District One;Teenager
769;2;231;29;51;Salami;Medium;4;Chef 1;Saturday;19;Deliver Now Holding;Munich District One;Student
1857;2;296;8;9;Magherita;Small;4;Delivery Guy 2;Sunday;14;BestOrder Inc.;Munich District Three;Adult
594;2;243;6;5;Funghi;Small;3;Chef 2;Sunday;19;Deliveruu Inc.;Munich District Four;Teenager
1575;2;286;29;10;Magherita;Medium;4;Phone Bill;Monday;12;BestOrder Inc.;Munich District One;Teenager
615;2;253;21;28;Funghi;Small;5;Chef 1;Saturday;17;Deliver Now Holding;Munich District Two;Student
1951;2;197;6;8;Veggie;Medium;4;Delivery Guy 1 ;Saturday;18;Orderly SE;Munich District Two;Senior
166;2;293;13;51;Veggie;Medium;4;Distribution channel fees;Sunday;19;BestOrder Inc.;Munich District One;Student
1015;2;200;32;2;Funghi;Large;4;Chef 2;Saturday;14;Deliveruu Inc.;Munich District Three;Teenager
1080;2;111;32;13;Calzone;Medium;3;Delivery Scooters ;Wednesday;18;Deliveruu Inc.;Munich District One;Adult
1284;2;278;29;29;Magherita;Medium;4;Phone Bill;Saturday;14;Orderly SE;Munich District One;Student
1905;2;258;29;5;Salami;Medium;3;Chef 1;Wednesday;17;Deliver Now Holding;Munich District Three;Teenager
1157;2;220;56;2;Calzone;Small;4;Chef 2;Sunday;15;Deliver Now Holding;Munich District Two;Student
1342;2;93;56;50;Magherita;Small;3;Chef 2;Friday;18;Deliver Now Holding;Munich District One;Teenager
1318;2;9;6;10;Calzone;Medium;3;Chef 2;Friday;20;Feedera SE;Munich District Three;Student
1023;2;78;21;9;Salami;Small;3;Delivery Scooters ;Sunday;12;Feedera SE;Munich District One;Student
1549;2;252;30;16;Funghi;Medium;3;Chef 2;Wednesday;11;Deliveruu Inc.;Munich District One;Adult
1066;2;54;21;8;Magherita;Small;5;Chef 2;Sunday;15;Orderly SE;Munich District One;Teenager
1989;2;170;10;10;Funghi;Small;4;Chef 1;Saturday;13;Feedera SE;Munich District Four;Student
997;2;142;10;2;Funghi;Medium;4;Chef 2;Friday;18;BestOrder Inc.;Munich District Two;Teenager
